0 , [ 50, 0, 0.081541074026752, 1 ] 
1 , [ 50, 48.268523697422, 0.081541074026752, 1 ] 
2 , [ 50, 100, 0.081541074026752, 1 ] 
3 , [ 50, 100, 0.081541074026752, 2 ] 
4 , [ 50, 148.94005662671, 0.081541074026752, 2 ] 
5 , [ 50, 200, 0.081541074026752, 2 ] 
6 , [ 50, 200, 0.081541074026752, 3 ] 
7 , [ 50, 218.60502795829, 0.081541074026752, 3 ] 
8 , [ 50, 245.32125217736, 0.081541074026752, 3 ] 
9 , [ 50, 261.39537416212, 0.081541074026752, 3 ] 
10 , [ 50, 289.21532512125, 0.081541074026752, 3 ] 
