0 , [ 50, 0, 0.70122153554477, 1 ] 
1 , [ 50, 48, 0.70122153554477, 1 ] 
2 , [ 50, 100, 0.70122153554477, 1 ] 
3 , [ 50, 74, 0.70122153554477, 1 ] 
4 , [ 100, 100, 0.70122153554477, 2 ] 
5 , [ 100, 146, 0.70122153554477, 2 ] 
6 , [ 100, 200, 0.70122153554477, 2 ] 
7 , [ 200, 200, 0.70122153554477, 3 ] 
8 , [ 200, 251.48, 0.70122153554477, 3 ] 
9 , [ 200, 297.11, 0.70122153554477, 3 ] 
10 , [ 200, 304.13, 0.70122153554477, 3 ] 
