0 , [ 10.499978201464, 11.144982940974, 0.47886602751363, 1 ] 
1 , [ 10.499978201464, 11.144982940974, 0.80954135075371, 1 ] 
2 , [ 10.499978201464, 50, 0.47886602751363, 1 ] 
3 , [ 10.499978201464, 80, 0.47886602751363, 1 ] 
4 , [ 10.499978201464, 35, 0.47886602751363, 1 ] 
5 , [ 3.9417627830565, 80.954135075371, 0.47886602751363, 1 ] 
6 , [ 3.9417627830565, 87.987496324859, 0.47886602751363, 1 ] 
7 , [ 2.6, 87.987496324859, 0.47886602751363, 1 ] 
8 , [ 2.6, 99.977139059379, 0.47886602751363, 1 ] 
9 , [ 6.3694458748187, 99.977139059379, 0.47886602751363, 1 ] 
10 , [ 6.3694458748187, 17.624994550366, 0.47886602751363, 1 ] 
11 , [ 6.3694458748187, 48.940056626712, 0.47886602751363, 1 ] 
12 , [ 1.3110551437992, 100, 0.97280924470877, 1 ] 
13 , [ 1.6301941477484, 100, 0.97280924470877, 1 ] 
14 , [ 2.454120037918, 100, 0.97280924470877, 1 ] 
15 , [ 14.859158230427, 100, 0.35, 2 ] 
16 , [ 14.859158230427, 47.996998014168, 0.35, 2 ] 
17 , [ 14.859158230427, 22.003001985832, 0.35, 2 ] 
18 , [ 14.859158230427, 4.2364633191205, 0.9753154778953, 3 ] 
19 , [ 14.859158230427, 13.855017059026, 0.71144982940974, 2 ] 
20 , [ 14.859158230427, 25.784674878754, 0.71144982940974, 2 ] 
21 , [ 16.784259839818, 25.784674878754, 0.71144982940974, 2 ] 
22 , [ 18.643813422214, 25.784674878754, 0.71144982940974, 2 ] 
23 , [ 24.943813422214, 25.784674878754, 0.71144982940974, 2 ] 
24 , [ 31.832049398553, 25.784674878754, 0.45586493361604, 2 ] 
25 , [ 29.713312230227, 25.784674878754, 0.45586493361604, 2 ] 
26 , [ 29.713312230227, 48.995737498606, 0.45586493361604, 2 ] 
27 , [ 32.238923165371, 48.995737498606, 0.45586493361604, 2 ] 
28 , [ 32.238923165371, 48.995737498606, 0.32522864009609, 2 ] 
29 , [ 30.356186577786, 48.995737498606, 0.32522864009609, 2 ] 
30 , [ 34.2169852384, 48.995737498606, 0.32522864009609, 2 ] 
31 , [ 38.860126223053, 48.995737498606, 0.32522864009609, 2 ] 
32 , [ 25.158289522715, 48.995737498606, 0.32522864009609, 2 ] 
33 , [ 19.2, 48.995737498606, 0.32522864009609, 2 ] 
34 , [ 19.2, 77.886602751363, 0.32522864009609, 2 ] 
35 , [ 19.2, 7.9153874208517, 0.32522864009609, 2 ] 
36 , [ 19.2, 17.886602751363, 0.32522864009609, 2 ] 
37 , [ 19.2, 33.533764881668, 0.32522864009609, 2 ] 
38 , [ 19.2, 33.533764881668, 0.27083501835711, 2 ] 
39 , [ 152.04725158819, 0, 0.22990875538299, 3 ] 
40 , [ 152.04725158819, 0, 0.2, 3 ] 
41 , [ 75.079600747558, 0, 0.3429296786778, 3 ] 
42 , [ 120.57930170892, 0, 0.3429296786778, 3 ] 
43 , [ 86.077557857907, 0, 0.3429296786778, 3 ] 
44 , [ 323.75452711994, 0, 0.12876459243552, 3 ] 
45 , [ 386.79359630377, 0, 0.12876459243552, 3 ] 
46 , [ 218.5, 0, 0.12876459243552, 3 ] 
47 , [ 400, 0, 0.12876459243552, 3 ] 
48 , [ 400, 7.9153874208517, 0.12876459243552, 3 ] 
49 , [ 400, 12.012503675141, 0.074771359903908, 3 ] 
50 , [ 400, 0.66846106936117, 0.074771359903908, 3 ] 
51 , [ 400, 7.280924470877, 0.074771359903908, 3 ] 
52 , [ 400, 20, 0.074771359903908, 3 ] 
53 , [ 400, 78.096468954167, 0.074771359903908, 3 ] 
54 , [ 400, 93.03128629541, 0.074771359903908, 3 ] 
