0 , [ [ 1, 2 ], 150, 0.721901, 1 ] 
1 , [ [ 2, 4 ], 100, 0.721901, 1 ] 
2 , [ 2, [ 100, 150, 200 ], 0.721901, 1 ] 
3 , [ 4, [ 40, 50, 80, 100 ], 0.721901, 1 ] 
0 , [ [ 12, 15, 18 ], 10, 0.577367, 2 ] 
1 , [ [ 12, 18 ], 15, 0.577367, 2 ] 
2 , [ [ 12, 15 ], 30, 0.577367, 2 ] 
3 , [ 12, [ 10, 15, 30 ], 0.577367, 2 ] 
4 , [ 15, [ 10, 20, 30 ], 0.577367, 2 ] 
5 , [ 18, [ 10, 15 ], 0.577367, 2 ] 
0 , [ 50, [ 2, 4, 8 ], 0.347983, 3 ] 
1 , [ 100, [ 0, 2, 4 ], 0.347983, 3 ] 
2 , [ 150, [ 2, 4 ], 0.244857, 3 ] 
3 , [ 200, [ 2, 2.069402, 3.085387, 4 ], 0.244857, 3 ] 
